月份,名称,对应收款id,对应订单编号,退款美金,手续费美金,美金退款合计,退款原始金额,原始币种,运营,归属,订单付款时间,订单所属月份,争议费,类型,退款类型,运营.1
2024-12.01-12.31,鼎锋onerway手动退款,1864849450993074176,2412060948505102021464603,53.9,1,54.9,53.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863372182466723840,2412020758417132021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-02,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867704304245559296,2412140651461542021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-14,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857212589445357568,2411150802403492021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-15,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858865862904516608,2411192128173122021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856528872896860160,2411131045495152021484887,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-13,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862677224541782016,2411300957111262021484887,47.98,1,48.98,47.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-30,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863352286781509632,2412020631135882021484887,50.99,1,51.99,50.99,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-02,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862500530640003072,2411292214487012021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-29,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857490812255215616,2411160228147992021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-16,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867055942068482048,2412121156395682021464603,53.9,1,54.9,53.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-12,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863309384017649664,2412020349094562021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-02,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864915605724217344,2412061411428812021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862496505047687168,2411292159047302021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-29,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865425214968836096,2412072356437422021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-08,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857514150373494784,2411160355573872021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-16,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856849844480905216,2411140801156012021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858606676253741056,2411190422164422021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863342423263281152,2412020556534262021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-02,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859693135257800704,2411220416145442021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858944671716605952,2411200245212802021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-20,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858274605022973952,2411180622441252021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-18,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867888471939895296,2412141904147352021464603,49.9,21,70.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-14,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862497383892791296,2411292201581082021484887,49.99,1,50.99,49.99,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-29,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858569970490159104,2411190156258712021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857942465324392448,2411170822565762021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859678075269545984,2411220319384682021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857899596844765184,2411170532352622021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865315023761846272,2412071638519802021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-07,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866458914472988672,2412102015583942021464603,52.9,1,53.9,52.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-10,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866638874709987328,2412110819222812021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863104479063580672,2412011414562292021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-01,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865039176333148160,2412062222444032021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857928041981153280,2411170724044132021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856874562235797504,2411140939282352021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856716161635717120,2411132302056372021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-13,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866599357789638656,2412110542205722021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867332205291126784,2412130614256222021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-13,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865460626407960576,2412080138073812021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-08,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865846317486845952,2412090350018852021464603,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-09,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866357872997564416,2412101314595382021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-10,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864791655933427712,2412060559112782021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856680764201373696,2411132049227092021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-13,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857446867026448384,2411152333365002021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-15,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857469037379194880,2411160101429752021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-16,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857264908274900992,2411151130342792021484887,47.89,1,48.89,47.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-15,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858616541646819328,2411190500104412021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859532732867411968,2411211742057732021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-21,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863713108322037760,2412030633259132021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-03,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866561851266301952,2412110312429722021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862210032339656704,2411290300438362021484887,47.89,1,48.89,47.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-29,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866625142038593536,2412110722363292021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1855663768835858432,2411110128133312021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-11,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858965388688494592,2411200407407442021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-20,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864720856601997312,2412060117513842021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859580566526361600,2411212035257702021484887,54.99,1,55.99,54.99,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-21,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1869538269222805504,2412190820313762021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-19,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1870939070025572352,2412230506482892021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-23,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859329222041272320,2411210411211942021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-21,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867896173365706752,2412141935255432021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-14,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857414993306587136,2411152126573152021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-15,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1872026044035641344,2412260417205522021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-26,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859732933355896832,2411220656272102021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1870915968482811904,2412230335002332021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-23,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1867046857470251008,2412121120324122021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-12,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway拒付退款,1865874064569413632,2412090540179912021464603,52.4,20,72.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-09,2024-12,,拒付退款,拒付退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866841718054596608,2412112145238852021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1860649755789889536,2411240006063642021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-24,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856888330562969600,2411141034109992021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866843057195200512,2412112150423342021484887,52.49,1,53.49,52.49,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865837215343853568,2412090313512192021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-09,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865868575303413760,2412090518287422021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-09,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865417078031663104,2412072324232792021464603,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-07,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1871047814864572416,2412231218551432021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-23,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859777559076933633,2411212005181692021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864406401716465664,2412050428191862021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-05,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865584397521403904,2412080911137212021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-08,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864727607535616000,2412060141387752021464603,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864797145824374784,2412060618562552021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858290505553944576,2411180725562102021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-18,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863647691897450496,2412030213284972021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-03,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1860382703141388288,2411240156164722021484887,49.98,1,50.98,49.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-24,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856741645702537216,2411140051185192021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856705459005038592,2411132218485942021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-13,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857819077968793600,2411170012399412021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858902984751452160,2411192359423842021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-20,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858865782155776000,2411192131529962021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-19,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1855047294786080768,2411090835431722021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-09,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857797522819784704,2411162238581782021484887,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-16,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864299872602439680,2412010544133642021484887,49.98,1,50.98,49.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-04,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1868983684276031488,2412171932076412021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-17,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863644038121799680,2412030158577142021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-03,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1870982085607825408,2412230757447772021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-23,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856172320826462208,2411121109016672021484887,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-12,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865516726192848896,2412080528297142021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-08,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864739753623433216,2412060229213212021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864368476924555264,2412050142459162021484887,47.89,1,48.89,47.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-05,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1863841936822386688,2412031505205352021464603,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-03,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866566611889422336,2412110332133752021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-11,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862612428832243712,2411300444129212021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-30,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864851460601556992,2412060956491402021464603,52.4,1,53.4,52.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1862666088039723008,2411300912555782021484887,45.89,1,46.89,45.89,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-30,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1864709826555555840,2412060034019552021484887,45.98,1,46.98,45.98,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-06,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1859710929655435264,2411220530112902021484887,47.18,1,48.18,47.18,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-22,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857067196640272384,2411142224559122021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1857381619196108800,2411151914209072021484887,51.4,1,52.4,51.4,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-15,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1865087855333097472,2412070136101372021464603,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-07,2024-12,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856707933833138176,2411132237211362021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-13,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1858085585269694464,2411171751399532021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-17,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1856752136474730496,2411140133001772021484887,49.9,1,50.9,49.9,USD,西安（欧美店铺）,西安（欧美店铺）,2024-11-14,2024-11,,手动退款,手动退款,徐世航
2024-12.01-12.31,鼎锋onerway手动退款,1866176856672567296,2412100137151652021464603,55.0,1,56.0,55.0,USD,西安（欧美店铺）,西安（欧美店铺）,2024-12-10,2024-12,,手动退款,手动退款,徐世航
